timestamp,class name,accuracy,CV Fold,# of lines,# trained,date time,train time,predict time,total time,
20170221_170539,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,0,0,0,0.016,-0.001,0.047,0.062,
20170221_170539,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,0,0,0.032,-0.001,0.109,0.14,
20170221_170539,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,0,0,0,0.0,-0.001,0.031,0.03,
20170221_170539,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,0,0,0,0.0,-0.001,0.062,0.061,
20170221_170703,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.281,0.015,0.016,1.3119999999999998,
20170221_170704,weka.classifiers.bayes.NaiveBayes,96.0,0,0,0,0.032,-0.001,0.156,0.187,
20170221_170704,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,0,0,0,0.016,-0.001,0.031,0.046,
20170221_170704,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,0,0,0.015,-0.001,0.047,0.061,
20170221_170704,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,0,0,0,0.016,-0.001,0.031,0.046,
20170221_170704,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,0,0,0,0.0,-0.001,0.047,0.046,
20170221_170915,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.28,0.0,0.015,1.295,
20170221_170916,weka.classifiers.bayes.NaiveBayes,96.0,0,0,0,0.031,0.0,0.187,0.218,
20170221_170916,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,0,0,0,0.0,0.0,0.032,0.032,
20170221_170916,weka.classifiers.bayes.NaiveBayesMultinomialText,33.333333333333336,0,0,0,0.016,0.0,0.062,0.078,
20170221_170916,weka.classifiers.bayes.NaiveBayesMultinomialUpdateable,68.66666666666667,0,0,0,0.0,0.0,0.031,0.031,
20170221_170916,weka.classifiers.bayes.NaiveBayesUpdateable,96.0,0,0,0,0.0,0.0,0.062,0.062,
20170221_172055,weka.classifiers.bayes.NaiveBayes,93.33333333333333,0,135,15,1.249,0.0,0.016,1.2650000000000001,
20170221_172057,weka.classifiers.bayes.NaiveBayes,96.0,10,0,0,0.031,0.0,0.125,0.156,
20170221_172057,weka.classifiers.bayes.NaiveBayesMultinomial,95.33333333333333,10,0,0,0.015,0.0,0.11,0.125,
